id,Relative_Relief_751,SPI751,TWI_FINAL751,Flow_Accumulation_clean751,aspect751,slope751,Elevation1,Distance_to_River,Drainage_Density,Landslide
1,21.69970703,1.626087904,2.175238609,3.600893974,218.7758484,13.23890305,842.5444946,2266.89,2.0487,0
2,16.99682617,2.673857212,1.961216688,4.634634495,116.5563736,12.88064003,783.5126343,2206.44,1.9025,0
3,56.49761963,0.99329114,1.543756604,2.115260124,237.0102081,36.1979599,998.7528076,2507.87,3.4926,0
4,50.30651855,-5.269521236,16.96024704,2.663095951,273.8417358,36.53218842,1125.532227,705.13,3.5288,1
5,39.68347168,1.907054543,1.341442347,2.804995775,143.50177,23.53068733,1213.76001,2498.05,2.3078,0
6,38.44616699,-16.90543556,17.30371666,3.869277954,198.1100922,27.08722305,1283.277832,238.4,2.9493,1
7,77.24731445,2.658363819,1.227903843,2.881559849,127.3222427,41.26728058,1460.617188,2355.76,4.0729,1
8,53.1630249,-2.860816956,16.93889046,2.600743771,150.9380188,31.83933449,887.6551514,642.41,3.4392,1
9,41.88677979,-1.980363607,17.00212288,2.950205564,137.0847778,21.88264465,881.0415039,475.46,2.4497,1
10,12.9979248,96.64852142,-2.208962679,2.109086752,190.5131073,12.55526066,852.1060791,2573,1.9774,0
11,10.08184814,-0.450862914,17.83872414,6.474014282,177.7851562,9.301041603,801.8504639,409.11,1.5794,1
